"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject","stimulus","responses"
"774","74","single-stim","87","88","307312","0-0","s03","img/Slide24.png",""
"1262","74","single-stim","88","89","308976","0-0","s03","img/Slide17.png",""
"766","70","single-stim","89","90","310144","0-0","s03","img/Slide03.png",""
"990","70","single-stim","90","91","311536","0-0","s03","img/Slide27.png",""
"719","70","single-stim","91","92","312656","0-0","s03","img/Slide02.png",""
"1279","74","single-stim","92","93","314336","0-0","s03","img/Slide18.png",""
"1031","70","single-stim","93","94","315768","0-0","s03","img/Slide10.png",""
"718","70","single-stim","94","95","316888","0-0","s03","img/Slide29.png",""
"854","70","single-stim","95","96","318144","0-0","s03","img/Slide13.png",""
"718","70","single-stim","96","97","319264","0-0","s03","img/Slide02.png",""
"679","70","single-stim","97","98","320344","0-0","s03","img/Slide04.png",""
"798","70","single-stim","98","99","321543","0-0","s03","img/Slide03.png",""
"734","74","single-stim","99","100","322679","0-0","s03","img/Slide17.png",""
"958","74","single-stim","100","101","324039","0-0","s03","img/Slide23.png",""
"1062","74","single-stim","101","102","325503","0-0","s03","img/Slide23.png",""
"742","70","single-stim","102","103","326647","0-0","s03","img/Slide30.png",""
"718","70","single-stim","103","104","327767","0-0","s03","img/Slide28.png",""
"646","70","single-stim","104","105","328815","0-0","s03","img/Slide05.png",""
"654","70","single-stim","105","106","329871","0-0","s03","img/Slide29.png",""
"2030","70","single-stim","106","107","332303","0-0","s03","img/Slide08.png",""
"614","70","single-stim","107","108","333319","0-0","s03","img/Slide05.png",""
"726","70","single-stim","108","109","334447","0-0","s03","img/Slide27.png",""
"598","74","single-stim","109","110","335447","0-0","s03","img/Slide24.png",""
"758","70","single-stim","110","111","336607","0-0","s03","img/Slide27.png",""
"654","74","single-stim","111","112","337663","0-0","s03","img/Slide22.png",""
"1070","74","single-stim","112","113","339135","0-0","s03","img/Slide19.png",""
"758","74","single-stim","113","114","340295","0-0","s03","img/Slide25.png",""
"703","70","single-stim","114","115","341399","0-0","s03","img/Slide08.png",""
"1606","70","single-stim","115","116","343407","0-0","s03","img/Slide14.png",""
"743","74","single-stim","116","117","344551","0-0","s03","img/Slide17.png",""
"736","74","single-stim","117","118","345687","0-0","s03","img/Slide17.png",""
"1158","74","single-stim","118","119","347247","0-0","s03","img/Slide18.png",""
"742","70","single-stim","119","120","348391","0-0","s03","img/Slide10.png",""
"72624","","survey-text","0","121","421421","0-0","s03","","{""Q0"":""Yes, deciding what exactly I thought \""dots\"" specified, as opposed to just \""dot\"""",""Q1"":""I would say the sentence matched the picture whenever the biggest dot was red (even if other red dots were smaller than the blue dots)"",""Q2"":""N/A""}"
"16589","49","single-stim","0","122","439012","0-0","s03","<p style=""font-size:30px; text-align:center"">Thanks for participating!</p>",""
